Project Name,Description,API URL,Github URL,Last Updated,Link URL,Organization Name,Organization API URL,Organization City,Organization Website,,,,,,,,,,
popit-api,PopIt API code - can be used as a standalone PopIt/Popolo API server or embedded in an Express website,http://codeforamerica.org/api/projects/35817,https://github.com/mysociety/popit-api,PopIt API code - can be used as a standalone PopIt/Popolo API server or embedded in an Express website,(null),mySociety,http://codeforamerica.org/api/organizations/mySociety,Oxford_ UK,https://www.mysociety.org/,,,,,,,,,,
telemedicine-gitbook,vTaiwan 數位生活：遠距健康照護,http://codeforamerica.org/api/projects/36709,https://github.com/g0v/telemedicine-gitbook,vTaiwan 數位生活：遠距健康照護,,g0v.tw,http://codeforamerica.org/api/organizations/g0v.tw,Taipei_ Taiwan,http://g0v.tw/,,,,,,,,,,
badeseenapp_old,,http://codeforamerica.org/api/projects/36865,https://github.com/CodeForGiessen/badeseenapp_old,,(null),OK Lab Gießen,http://codeforamerica.org/api/organizations/OK-Lab-Gießen,Gießen_ Germany,http://codefor.de/giessen,,,,,,,,,,
rdbms-subsetter,Generates a subset of a relational database that respects foreign key constraints,http://codeforamerica.org/api/projects/34327,https://github.com/18F/rdbms-subsetter,Generates a subset of a relational database that respects foreign key constraints,(null),18F,http://codeforamerica.org/api/organizations/18F,San Francisco_ CA,https://18f.gsa.gov/,,,,,,,,,,
vtaiwan.tw,行政院法規線上諮詢系統,http://codeforamerica.org/api/projects/34613,https://github.com/g0v/vtaiwan.tw,行政院法規線上諮詢系統,https://g0v.hackpad.com/oWRxOF4ilfx,g0v.tw,http://codeforamerica.org/api/organizations/g0v.tw,Taipei_ Taiwan,http://g0v.tw/,,,,,,,,,,
ZiwaphiHealth,,http://codeforamerica.org/api/projects/36065,https://github.com/CodeForAfrica/ZiwaphiHealth,,(null),Code for Kenya,http://codeforamerica.org/api/organizations/Code-for-Kenya,Nairobi_ Kenya,http://code4kenya.org,,,,,,,,,,
ZiwaphiHealth,,http://codeforamerica.org/api/projects/36064,https://github.com/CodeForAfrica/ZiwaphiHealth,,(null),Code for Ghana,http://codeforamerica.org/api/organizations/Code-for-Ghana,Accra_ Ghana,http://codeforghana.org,,,,,,,,,,
ZiwaphiHealth,,http://codeforamerica.org/api/projects/36066,https://github.com/CodeForAfrica/ZiwaphiHealth,,(null),Code for Nigeria,http://codeforamerica.org/api/organizations/Code-for-Nigeria,Lagos_ Nigeria,http://code4nigeria.org,,,,,,,,,,
ZiwaphiHealth,,http://codeforamerica.org/api/projects/36064,https://github.com/CodeForAfrica/ZiwaphiHealth,,(null),Code for Ghana,http://codeforamerica.org/api/organizations/Code-for-Ghana,Accra_ Ghana,http://codeforghana.org,,,,,,,,,,
codeforamerica.org,The @codeforamerica website,http://codeforamerica.org/api/projects/36274,https://github.com/codeforamerica/codeforamerica.org,The @codeforamerica website,http://www.codeforamerica.org,Code for America,http://codeforamerica.org/api/organizations/Code-for-America,San Francisco_ CA,http://codeforamerica.org,,,,,,,,,,
realtime-bus-sms,Text back current arrival time for buses given a texted in bus stop number for People Mover,http://codeforamerica.org/api/projects/32878,https://github.com/codeforanchorage/realtime-bus-sms,Text back current arrival time for buses given a texted in bus stop number for People Mover,(null),Code for Anchorage,http://codeforamerica.org/api/organizations/Code-for-Anchorage,Anchorage_ AK,http://codeforanchorage.org/,,,,,,,,,,
wheels-on-the-bus,Wrangling the Anchorage Peoplemover data into a format readable by Google Maps.,http://codeforamerica.org/api/projects/32887,https://github.com/codeforanchorage/wheels-on-the-bus,Wrangling the Anchorage Peoplemover data into a format readable by Google Maps.,,Code for Anchorage,http://codeforamerica.org/api/organizations/Code-for-Anchorage,Anchorage_ AK,http://codeforanchorage.org/,,,,,,,,,,
open-issues,Use CFA API for Code for Miami Issues,http://codeforamerica.org/api/projects/36843,https://github.com/Code-for-Miami/open-issues,Use CFA API for Code for Miami Issues,(null),Code for Miami,http://codeforamerica.org/api/organizations/Code-for-Miami,Miami_ FL,http://codeformiami.org/,,,,,,,,,,
censusreporter,Census Reporter is a Knight News Challenge-funded project to make it easier for journalists to write stories using information from the U.S. Census bureau.,http://codeforamerica.org/api/projects/34140,https://github.com/censusreporter/censusreporter,Census Reporter is a Knight News Challenge-funded project to make it easier for journalists to write stories using information from the U.S. Census bureau.,http://censusreporter.org,Open Gov Hack Night,http://codeforamerica.org/api/organizations/Open-Gov-Hack-Night,Chicago_ IL,http://opengovhacknight.org,,,,,,,,,,
code-for-denver-site,,http://codeforamerica.org/api/projects/33412,https://github.com/codefordenver/code-for-denver-site,,http://www.codefordenver.org,Code for Denver,http://codeforamerica.org/api/organizations/Code-for-Denver,Denver_ CO,http://www.codefordenver.org/,,,,,,,,,,
myq-backend-app,Backed for myq application.,http://codeforamerica.org/api/projects/34761,https://github.com/codeforireland/myq-backend-app,Backed for myq application.,(null),Code for Ireland,http://codeforamerica.org/api/organizations/Code-for-Ireland,Ireland,http://codeforireland.com/,,,,,,,,,,
Open-Data-API,,http://codeforamerica.org/api/projects/36845,https://github.com/codeforpakistan/Open-Data-API,,(null),Code for Pakistan,http://codeforamerica.org/api/organizations/Code-for-Pakistan,Lahore_ Pakistan,http://www.codeforpakistan.org/code-for-all-brigades.html,,,,,,,,,,
ancfinder,A website about DC's Advisory Neighborhood Commission system.,http://codeforamerica.org/api/projects/34355,https://github.com/codefordc/ancfinder,A website about DC's Advisory Neighborhood Commission system.,http://ancfinder.org/,Code for DC,http://codeforamerica.org/api/organizations/Code-for-DC,Washington_ DC,http://codefordc.org/,,,,,,,,,,
data.gov,Data.gov source code and issue tracker,http://codeforamerica.org/api/projects/33102,https://github.com/GSA/data.gov,Data.gov source code and issue tracker,http://www.data.gov,Data.gov,http://codeforamerica.org/api/organizations/Data.gov,Washington_ DC,http://www.data.gov,,,,,,,,,,
ohana-api,The open source API directory of community social services.,http://codeforamerica.org/api/projects/36463,https://github.com/codeforamerica/ohana-api,The open source API directory of community social services.,http://ohana-api-demo.herokuapp.com/api,Code for America,http://codeforamerica.org/api/organizations/Code-for-America,San Francisco_ CA,http://codeforamerica.org,,,,,,,,,,
ebt-near-me,A mobile app that shows the nearest places you can use an EBT card nationwide.,http://codeforamerica.org/api/projects/36315,https://github.com/codeforamerica/ebt-near-me,A mobile app that shows the nearest places you can use an EBT card nationwide.,http://ebtnearme.org,Code for America,http://codeforamerica.org/api/organizations/Code-for-America,San Francisco_ CA,http://codeforamerica.org,,,,,,,,,,
